"id","name","detailed_type","list_price","standard_price","default_code"
"product_obat_001","Vaksin Tricat","consu",200000,150000,"OBT-001"
"product_obat_002","Vaksin Tetracat","consu",250000,180000,"OBT-002"
"product_obat_003","Vaksin Eurican 4","consu",250000,180000,"OBT-003"
"product_obat_004","Drontal Cat (Obat Cacing)","consu",25000,18000,"OBT-004"
"product_obat_005","Drontal Dog (Obat Cacing)","consu",30000,22000,"OBT-005"
"product_obat_006","Bravecto (Obat Kutu Kucing)","consu",350000,280000,"OBT-006"
"product_obat_007","NexGard (Obat Kutu Anjing)","consu",280000,220000,"OBT-007"
"product_obat_008","Revolution Plus (Kutu & Cacing)","consu",180000,140000,"OBT-008"
"product_obat_009","Amoxicillin Drop 10ml","consu",45000,30000,"OBT-009"
"product_obat_010","Doxycycline 100mg","consu",15000,8000,"OBT-010"
"product_obat_011","Meloxicam Drop (Perada Nyeri)","consu",60000,45000,"OBT-011"
"product_obat_012","Salep Scabies 15g","consu",35000,25000,"OBT-012"
"product_obat_013","Ketoconazole Salep Jamur","consu",40000,28000,"OBT-013"
"product_obat_014","Tetes Telinga Otitis 15ml","consu",55000,40000,"OBT-014"
"product_obat_015","Tetes Mata Cendo 5ml","consu",30000,20000,"OBT-015"
"product_obat_016","Vitamin Nutri-plus Gel 120g","consu",120000,95000,"OBT-016"
"product_obat_017","Royal Canin Recovery 195g","consu",65000,50000,"OBT-017"
"product_obat_018","Infus NaCl 0.9% 500ml","consu",20000,12000,"OBT-018"
"product_obat_019","Infus Ringer Laktat 500ml","consu",25000,15000,"OBT-019"
"product_obat_020","Spuit/Syringe 3cc","consu",5000,2000,"OBT-020"
